IOT_ID,MESSAGE_TYPE,RECIVED_TIME,ISA,NoPowerOutput,category,description,format,generatorRotationSpeed,hubSpeed,nacelletemperature,pitchAngle,powerGeneration,severity,subject,towerViberation,towerVibration,windSpeed,GENERATED_TIME,MSG_ID
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,30-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,30-Aug-16
0-6FKQ,ALERT,31-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,31-Aug-16
0-6FKQ,ALERT,31-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,31-Aug-16
0-6FKQ,ALERT,31-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,31-Aug-16
0-6FKQ,ALERT,31-Aug-16,DFS,true,,Low / No Power Output,urn:com:oracle:iot:device:windTurbine_sensor:shortcircuit,,,,,,SIGNIFICANT,,,,,,31-Aug-16
